word,count,desc_count,fn_count,tier,source,example1,example2,example3
reverberations,12,12,0,new,desc,Jolting evoking liquid-like movements with reverberations.,"Detailed clinks, clatters, and reverberations as the screws collide with the smooth surface of the glass",Sharp clinks and reverberations as the screws collide with the smooth glass surface.
ominous,12,11,1,new,both,"Short, ominous incantation with rough texture and magical grit.",Rumbling impact fused with fiery breath and ominous propulsion.,Ominous flash casting a cursed shimmer before vanishing.
airplane,12,12,0,old,desc,LARGE NORMAL Low burning into typical rocket or airplane fly by.,LARGE NORMAL Low burning into fast and typical rocket or airplane fly by.,LARGE NORMAL Low burning into fast and typical rocket or airplane fly by mono.
dramatic,12,12,0,new,desc,Potent punch sound resembling a dramatic anime face strike.,Dramatic whoosh swell characterized by a screechy and tonal quality.,"Mystical whip wielded by a powerful wizard, characterised by a high frequency shimmer and a dramatic thud."
nasal,12,12,0,new,desc,"Wild, Marine, Mammal. Short, nasal grunting. Mono, Sanken Co100K high frequency response.","Wild, Marine, Mammal. Short, nasal grunting.","Wild, Marine, Mammal. Short, soft, nasal grunting with subtle tonality. Mono, Sanken Co100K high frequency response."
alarm,12,6,6,new,both,"SYNTHETIC SCREECH LONG Erupting alarm like sound, with fluttering signal.",Deep hit with whoosh and alarm like sound.,Processed rumble with scattered particles and alarm like tone repeating. Pitch rises. Rumble turns into garble and then returns at end.
interaction,12,12,0,new,desc,Interaction between liquid dropping or plopping onto a rubber surface.,Tactile interaction of a coin being dropped into a hand.,Crisp and clear digital tick that conveys the interaction of tapping on a smooth glass tabletop or panel.
blowtorch,12,2,10,old,both,"Warm, low ignition of a blowtorch with roaring fire tail.","Warm, low, softer and slower ignition of a blowtorch with soft flame tail.",
decaying,12,12,0,new,desc,Fast hit on surface with slowly decaying displacement.,Fast hit on surface with  subtle thud and slowly decaying displacement.,Long whooshes of a wind gusts. Steady whooshes with a subtle build up followed by a pass by swish and short decaying tail.
nuts,12,2,10,mid,both,WOOD BREAK Cracking nuts. Crackling before breaking.,WOOD BREAK SMALL Cracking nuts. Crackling before breaking. Snappy.,
hissy,12,8,4,new,both,"CD ejected from player.  Click followed by printer like noise, followed by hissy slide.",Remote control car started and stopped for various lengths. Hissy rumble.,Sustained fire swirl with hissy chemical textures and evolving motion.
vocalizing,12,12,0,mid,desc,Chicken splashing water and vocalizing. Slightly grainy.,Water flows and rocks break of continually off cliff while creature is crazily vocalizing and screech.,"HUMAN VOCAL Breathy gestures. Forceful whispers. Shaping, vocalizing."
descent,12,12,0,new,desc,Rapid descent of a sorcery chime.,Slow descent of a sorcery chime.,Slower chime descent with rich tonal transitions and clear decay.
haunting,12,11,1,new,both,Haunting inharmonic noise with rounded high end and panning.,"One shot, haunting, atonal bells with layered attacks.","MEDIUM LONG RISER Crescendo, soft scraping, dragging and shrieking mid and upper mid resonances. Eerie and haunting. Medium decay."
slamming,12,12,0,new,desc,Heavy fire detonation slamming down with combustive might.,Dark tonic slamming into terrain with shattering force.,Metallic poles clunking and ringing elements from soft impacts and slamming.
wicker,12,6,6,mid,both,"Wicker basket moved downward, as if plastic is crunched and rustled, in long sequence.","Wicker basket moved downward, as if plastic is crunched and rustled. Pitch slightly falls.","Crunch and squeak of plant material of wicker basket, as it is moved continuously."
spoon,12,4,8,new,both,"Dry ice on metal spoon, high pitch, squeaking and stuttering.","Dry ice on metal spoon, high pitch, squeaking, short to long sequences.",IMPACT METAL MULTIPLE Hitting spaghetti spoon several times with metallic stick. Fast.
bellow,12,1,11,new,both,Hydraulic bellow releases short burst of air and is turned off suddenly.,,
phaser,12,3,9,new,both,Synthesized glimmering with metallic phaser effects.,"Sustained synthesized movement with a rising pitch, featuring a mouth-generated phaser effect.","Prolonged synthesized movement with a descending pitch, characterized by a mouth-generated phaser effect."
tightly,12,12,0,mid,desc,Cellophane like surface squeezed tightly and incessantly. Processed with many squeaks.,"Leather moved around continuously, producing distinct creaks, as if stretched tightly.",Wet cloth twisted tightly and water seeps out.
nozzle,12,6,6,mid,both,Movement of a metallic nozzle being dragged on a table at a fast speed.,Movement of a metallic nozzle being dragged on a table at a fast speed and some resonance.,Movement of a metallic nozzle being dragged on a table at a fast speed. Thin and sharp.
digger,12,10,2,old,both,GLASS BREAK BIG Scrap digger dumping huge amount of shards on concrete.,CAR IMPACT BIG Scrap digger dropping car on concrete. Rustling debris.,CAR IMPACT GLASS Scrap digger dropping car on concrete. Windows breaking. Glass shards debris.
marble,12,5,7,mid,both,"Marble spinning inside a large glass cloche, strong tonal ringing with wide stereo movement.","Marble spinning inside a plastic bowl, strong tonal ringing with wide stereo movement.",OTHER BALLOON DOWN Rotating a marble inside of a balloon. Differing in speed.
acceleration,12,11,1,new,both,Ascending jiggle with a delayed acceleration.,Wobble noise with gentle acceleration.,Wobble noise with an extended whistling acceleration.
extreme,12,9,3,new,both,"SYNTHETIC HIT LOW Extreme, distorting, snappy impact. Short with subtle low end. Some variation with high, piercing element.","SYNTHETIC MOVEMENT CONTINUOUS Extreme and continuous flutter, like slow blade slap.","Processed flames coming out of futuristic device. Heavy drone. Heavy, synthetic gurgles with modulations. Electronic gurgles. Extreme variations."
nickering,12,12,0,new,desc,"Domestic, Farm, Mammal. Nervous breathing and grunting with subtle nickering. Mono, Sanken Co100K high frequency response.","Domestic, Farm, Mammal. Nervous breathing and grunting with subtle nickering.","Domestic, Farm, Mammal. Furious, tonal nickering and grunting. Mono, Sanken Co100K high frequency response."
entity,12,12,0,mid,desc,"Ethereal, Banshee, Ghost, Spirit, Female, Haunted, Horror, Paranormal, Entity, Voice, Vocal. Female banshee screaming long, strident and eerie.","Ethereal, Banshee, Ghost, Spirit, Female, Haunted, Horror, Paranormal, Entity, Voice, Vocal. Female banshee screaming short, strident and eerie.","Ethereal, Banshee, Ghost, Spirit, Female, Haunted, Horror, Paranormal, Entity, Voice, Vocal. Female banshee screaming and whimpering long, strident, e"
juice,12,8,4,new,both,Watermelon juice is softly dripping.,"Watermelon juice is slowly bubbling,","Watermelon juice is quickly bubbling,"
scrunchy,12,12,0,unknown,desc,"MOTION MEDIUM SCRUNCHY High-frequency crinkling, rustling and shuffling. Slight low-mid resonance. Short durations.","MOTION SMALL SCRUNCHY High-frequency crinkling, rustling and shuffling. Slight low-mid resonance. Short durations.","MOTION MEDIUM SCRUNCHY Sustained high-frequency crinkling, rustling and shuffling."
sorcery,12,11,1,new,both,"Mystical, enchanting sharp accent that signifies the sudden appearance of sorcery.",Rapid descent of a sorcery chime.,Slow descent of a sorcery chime.
current,12,10,2,mid,both,"Electric current conduction, short circuit.","Power shipments, electric current darts.","Grains of plasma slowly converge and zap like electric current, slowly gaining in power until they whoosh away."
accordion,12,1,11,mid,both,"BITE IMPACT SMALL SHORT Accordion bellows slapping together, Dull and short thwack.",,
surrounding,12,12,0,mid,desc,"Low pitched, muffled roar with enough intensity to move surrounding objects.",Large pulses fired from futuristic weapon with slight ripples on surrounding air.,"Rock slowly breaks off mountain and falls with sharp impact, causing ripples in surrounding environment."
occasionally,12,12,0,mid,desc,Sharp blast of bass tone. Occasionally wobbles.,"Short, piercing, high pitch laser strike with bassy rumble and occasionally whooshes.","Metal gear is moved around, producing processed clanks and occasionally glitches."
series,12,12,0,new,desc,"Sequential impacts of multiple coins hitting the table surface, creating a series of metallic clinks and clatters.","Simultaneous impact of multiple coins hitting the table, creating a series of metallic clinks and clatters.",Series of mouth pops with progressively increasing pitch.
bin,12,3,9,mid,both,IMPACT BALL METAL Ball bouncing on and in metal bin until the end. Slightly tonal.,IMPACT METAL MEDIUM Hitting metal bin. Resonating tail. Tinny.,IMPACT METAL RATTLE Throwing and moving bin on floor. Rattling elements. Tinny.
croaking,12,12,0,new,desc,"Wild. Slightly raspy, tonal croaking, screaming and screeching. Mono, Sanken Co100K high frequency response.","Wild. Slightly raspy, tonal croaking, screaming and screeching.","Wild. Calm, slightly raspy, tonal croaking, screaming and screeching. Mono, Sanken Co100K high frequency response."
vicious,12,1,11,new,both,Vicious stomp with brittle snap and low force.,,
circular,12,9,3,new,both,Rapid metallic scraping with circular movement and sustained shimmer.,Circular metallic motion with magical modulation and casting accent.,Fast circular grain swirl with kinetic texture and steady rhythmic loop.
sparking,12,12,0,mid,desc,Quick and noisy whoosh. Sizzling and sparking.,Airy and rapid whoosh by. Thin and sparking.,Thin and muted whooshes with sizzling and sparking elements on top.
burner,12,3,9,mid,both,"Bunsen burner is lit, gas flame burns and the burner is turned off again.","Continuous Bunsen burner flame, mid-heavy.","Bunsen burner bursts, various lengths. Harsh bursts, soft fades."
within,12,12,0,new,desc,Rhythmic shuffling of cards within hands.,"Action of grabbing a handful of dice, whilst the dice rustle within the grip.",Rattling movement of metal clips within a plastic container.
funnel,12,2,10,mid,both,Aggressive and tonal swings of a metal funnel. Swirling and whizzing.,"Funnel damped by hand. Sharp, resonant clang. Long tail.",
quarter,12,6,6,old,both,SKATING RAMP TRICK Skater making a 5050 grind in a quarter ramp.,SKATING RAMP START Skater dropping a quarter ramp.,SKATING RAMP TRICK Skater lifting off a quarter ramp.
arch,12,6,6,mid,both,"Violin bow scraped against lever arch file, producing creak falling in pitch.",Creaky gnarl of violin bow scraped against lever arch file.,"Violin bow scraped against lever arch file, producing gnarl and shriek."
filtering,12,11,1,new,both,Brief whoosh characterised by a double filtering of noise.,"Muddled, physical texture with modulations in sample speed and filtering.",FM hits of splattery delay and filtering with short tails and spectral sounds.
squeezes,12,3,9,mid,both,Wet and squishy squeezes.,Squishing a juicy pepper. Liquid squeezes.,
fusion,12,3,9,new,both,"Powerful collision between a textile material and a surface, distinguished by the fusion of plush fabric and the distinctive texture of leather.","Powerful collision between a textile material and a surface, distinguished by the fusion of plush fabric and the durability of nylon fabric.","Dynamic fusion of fizzling and bursting sounds, evoking imagery of magical phenomena or fantastical events."
steadily,12,10,2,mid,both,"Stone falling steadily down slope, bouncing and taking other pieces of dirt and stone with it.","Steadily stuttering, zapping and warping elements with some additional movement.",Steadily turning and mechanical stuttering elements of a ratchet with heavy tension.
